,Code,Name,Country,Exchange,Currency,Type,Isin
17652,GHSI,Guardion Health Sciences Inc,USA,NASDAQ,USD,Common Stock,US40145Q4010
17653,GHST,GHST World Inc,USA,PINK,USD,Common Stock,US37445J1034
17658,GHVND,GoldHaven Resources Corp.,USA,OTCQB,USD,Common Stock,
17659,GHVNF,GoldHaven Resources Corp,USA,OTCQB,USD,Common Stock,
17669,GIA,GigCapital 5 Inc. Common Stock,USA,NASDAQ,USD,Common Stock,US37519U1097
17670,GIAFU,GigCapital5 Inc.,USA,OTCMKTS,USD,Common Stock,
17671,GIAFW,GigCapital5 Inc.,USA,OTCMKTS,USD,Common Stock,
17673,GIB,CGI Inc,USA,NYSE,USD,Common Stock,CA12532H1047
17679,GIBX,GIB Capital Group Inc,USA,PINK,USD,Common Stock,
17680,GIC,Global Industrial Co,USA,NYSE,USD,Common Stock,US37892E1029
17691,GIDMF,Golden Independence Mining Corp,USA,OTCQB,USD,Common Stock,
17700,GIFI,Gulf Island Fabrication Inc,USA,NASDAQ,USD,Common Stock,US4023071024
17702,GIFLF,Grifols S.A,USA,PINK,USD,Common Stock,
17704,GIFOF,Grifols S.A,USA,PINK,USD,Common Stock,
17708,GIFX,Gifa Inc,USA,PINK,USD,Common Stock,US36173L1089
17709,GIGA,Giga-tronics Inc,USA,OTCQB,USD,Common Stock,US3751753043
17714,GIGGF,Giga Metals Corporation,USA,OTCQX,USD,Common Stock,
17717,GIGM,Giga Media Ltd,USA,NASDAQ,USD,Common Stock,SG9999014831
17718,GIGNF,Genting Singapore Limited,USA,PINK,USD,Common Stock,
17719,GIGNY,Genting Singapore PLC ADR,USA,PINK,USD,Common Stock,US37251T1043
17726,GIII,G-III Apparel Group Ltd,USA,NASDAQ,USD,Common Stock,US36237H1014
17734,GIKLY,Grifols SA ADR,USA,PINK,USD,Common Stock,US3984382008
17736,GIL,Gildan Activewear Inc.,USA,NYSE,USD,Common Stock,CA3759161035
17739,GILD,Gilead Sciences Inc,USA,NASDAQ,USD,Common Stock,US3755581036
17747,GILT,Gilat Satellite Networks Ltd,USA,NASDAQ,USD,Common Stock,IL0010825102
17748,GILXF,Gitennes Exploration Inc,USA,PINK,USD,Common Stock,
17769,GIPIF,Green Impact Partners Inc,USA,PINK,USD,Common Stock,
17771,GIPR,Generation Income Properties Inc,USA,NASDAQ,USD,Common Stock,US37149D2045
17772,GIPRW,Generation Income Properties Inc Warrant,USA,NASDAQ,USD,Common Stock,
17787,GIS,General Mills Inc,USA,NYSE,USD,Common Stock,US3703341046
17802,GIVSY,Grupo de Inversiones Suramericana SA ADR,USA,PINK,USD,Common Stock,US40052Q1058
17803,GIVXF,Givex Information Technology Group Limited,USA,OTCQX,USD,Common Stock,
17817,GJH,Strats Trust US Cellular GIC,USA,NYSE,USD,Common Stock,US86311Q2049
17818,GJNSF,Gjensidige Forsikring ASA,USA,OTCGREY,USD,Common Stock,
17819,GJNSY,Gjensidige Forsikring Asa ADR,USA,PINK,USD,Common Stock,US37636X1019
17820,GJO,Strats SM Trust for Wal Mart Stores Inc Securities Series 2005-4 GIC,USA,NYSE,USD,Common Stock,US86312E2000
17821,GJP,STRATS SM Trust for Dominion Resources Inc Securities Series 2005-6 IC,USA,NYSE,USD,Common Stock,US78478P8894
17822,GJR,Strats SM Trust for Procter & Gamble Securities Series 2006-1 GIC,USA,NYSE,USD,Common Stock,US8631212086
17824,GJS,STRATSSM Certificates series supplement 2006-2 Trust IC,USA,NYSE,USD,Common Stock,US86311R3012
17825,GJST,GEO JS Tech Group Corp,USA,PINK,USD,Common Stock,
17826,GJT,STRATS SM Trust for Allstate Corp Securities Series 2006-3 IC,USA,NYSE,USD,Common Stock,US86310N2027
17830,GKIN,Guskin Gold Corp,USA,OTCQB,USD,Common Stock,
17832,GKIT,Greenkraft Inc,USA,PINK,USD,Common Stock,
17833,GKOS,Glaukos Corp,USA,NYSE,USD,Common Stock,US3773221029
17834,GKPRF,Gatekeeper Systems Inc,USA,PINK,USD,Common Stock,
17835,GKSDF,Grupo KUO S.A.B. de C.V,USA,OTCGREY,USD,Common Stock,
17836,GKSGF,Grenke AG,USA,OTCGREY,USD,Common Stock,
17837,GKTRF,GEK TERNA Holdings Real Estate Construction S.A,USA,PINK,USD,Common Stock,
17838,GL,Globe Life Inc,USA,NYSE,USD,Common Stock,US37959E1029
17839,GL-PD,Globe Life Inc. 4.25% Junior Su,USA,NYSE,USD,Preferred Stock,
17840,GLABF,Gemina Laboratories Ltd,USA,PINK,USD,Common Stock,
17842,GLAD,Gladstone Capital Corporation,USA,NASDAQ,USD,Common Stock,US3765351008
17843,GLADZ,Gladstone Capital Corporation 7.75% Notes due 2028,USA,NASDAQ,USD,Common Stock,
17844,GLAE,Glassbridge Enterprises Inc,USA,PINK,USD,Common Stock,US3771852023
17846,GLAPF,Glanbia plc,USA,PINK,USD,Common Stock,IE0000669501
17847,GLAPY,Glanbia PLC ADR,USA,PINK,USD,Common Stock,US3767881051
17848,GLATF,Global Atomic Corp,USA,OTCQX,USD,Common Stock,CA37957M1068
17849,GLAXF,GSK plc,USA,PINK,USD,Common Stock,GB0009252882
17850,GLBB,Global Quest Ltd,USA,OTCCE,USD,Common Stock,
17851,GLBE,Global-E Online Ltd,USA,NASDAQ,USD,Common Stock,IL0011741688
17853,GLBGF,Globrands Ltd,USA,PINK,USD,Common Stock,
17854,GLBH,Globaltech Holdings,USA,PINK,USD,Common Stock,US37948L2097
17856,GLBKF,Goldbank Mining Corporation,USA,PINK,USD,Common Stock,
17858,GLBR,Global Brokerage Inc,USA,PINK,USD,Common Stock,US37891B1098
17859,GLBS,Globus Maritime Ltd,USA,NASDAQ,USD,Common Stock,MHY272651263
17860,GLBXF,Globex Mining Enterprises Inc,USA,OTCQX,USD,Common Stock,
17861,GLBZ,Glen Burnie Bancorp,USA,NASDAQ,USD,Common Stock,US3774071019
17868,GLCNF,Glencore PLC,USA,PINK,USD,Common Stock,JE00B4T3BW64
17869,GLCO,Global Links Corp,USA,PINK,USD,Common Stock,US3794087011
17875,GLDAD,GlobalData Plc,USA,PINK,USD,Common Stock,
17876,GLDAF,GlobalData Plc,USA,PINK,USD,Common Stock,
17880,GLDD,Great Lakes Dredge & Dock,USA,NASDAQ,USD,Common Stock,US3906071093
17881,GLDG,GoldMining Inc,USA,NYSE MKT,USD,Common Stock,CA38149E1016
17885,GLDRF,Idaho Champion Gold Mines Canada Inc,USA,OTCQB,USD,Common Stock,
17890,GLEC,Global Ecology Corp,USA,PINK,USD,Common Stock,US37950A1097
17896,GLFC,Gold Flora Corporation,USA,OTCMKTS,USD,Common Stock,
17897,GLFCW,Gold Flora Corporation,USA,OTCMKTS,USD,Common Stock,
17898,GLFGF,Global Fashion Group S.A,USA,PINK,USD,Common Stock,
17899,GLFH,Galenfeha Inc,USA,PINK,USD,Common Stock,US3633771023
17900,GLFN,McHenry Metals Golf Corp,USA,OTCGREY,USD,Common Stock,
17902,GLG,TD Holdings Inc,USA,NASDAQ,USD,Common Stock,US87250W1036
17903,GLGDF,GoGold Resources Inc.,USA,OTCQX,USD,Common Stock,CA38045Y1025
17904,GLGI,Greystone Logistics,USA,OTCQB,USD,Common Stock,US39807A1007
17905,GLGLF,GLG Life Tech Corporation,USA,PINK,USD,Common Stock,US3617932013
17906,GLHD,PSH Group Holding Inc,USA,PINK,USD,Common Stock,
17907,GLHRF,Golden Harp Resources Inc,USA,PINK,USD,Common Stock,
17911,GLIOF,Gold Lion Resources Inc,USA,PINK,USD,Common Stock,
17913,GLIV,Grayscale Livepeer Trust (LPT),USA,PINK,USD,Common Stock,
17914,GLKFF,Raise Production Inc,USA,PINK,USD,Common Stock,
17915,GLKIF,Great Lakes Graphite Inc,USA,PINK,USD,Common Stock,CA39062T1093
17919,GLLI,Globalink Investment Inc,USA,NASDAQ,USD,Common Stock,US37892F1093
17920,GLLIR,Globalink Investment Inc. Rights,USA,NASDAQ,USD,Common Stock,
17921,GLLIU,Globalink Investment Inc Unit,USA,NASDAQ,USD,Unit,US37892F2083
17922,GLLIW,Globalink Investment Inc. Warrants,USA,NASDAQ,USD,Common Stock,
17923,GLLL,Glacial Lakes Corn Processors Inc. COM UNIT CAP,USA,OTCGREY,USD,Common Stock,
17925,GLMD,Galmed Pharmaceuticals Ltd,USA,NASDAQ,USD,Common Stock,IL0011313900
17926,GLMFF,Glacier Media Inc,USA,PINK,USD,Common Stock,
17930,GLNCY,Glencore PLC ADR,USA,PINK,USD,Common Stock,US37827X1000
17931,GLNG,Golar LNG Limited,USA,NASDAQ,USD,Common Stock,BMG9456A1009
17934,GLNK,Grayscale Chainlink Trust,USA,OTCQB,USD,Common Stock,
17936,GLNLF,Galan Lithium Limited,USA,PINK,USD,Common Stock,
17940,GLNS,Golden Star Resource Corp ,USA,OTCQB,USD,Common Stock,
17943,GLOB,Globant SA,USA,NYSE,USD,Common Stock,LU0974299876
17946,GLOG-PA,GasLog Ltd.,USA,NYSE,USD,Preferred Stock,
17947,GLOH,Glow Holdings Inc,USA,PINK,USD,Common Stock,
17949,GLOP-PA,GasLog Partners LP,USA,NYSE,USD,Preferred Stock,
17950,GLOP-PB,GasLog Partners LP,USA,NYSE,USD,Preferred Stock,
17951,GLOP-PC,GasLog Partners LP,USA,NYSE,USD,Preferred Stock,MHY2687W1324
17954,GLP,Global Partners LP,USA,NYSE,USD,Common Stock,US37946R1095
17955,GLP-PA,Global Partners LP,USA,NYSE,USD,Preferred Stock,
17956,GLP-PB,Global Partners LP,USA,NYSE,USD,Preferred Stock,
17959,GLPEF,Galp Energia SGPS S.A,USA,OTCGREY,USD,Common Stock,
17960,GLPEY,Galp Energa,USA,PINK,USD,Common Stock,US3640971053
17961,GLPG,Galapagos NV ADR,USA,NASDAQ,USD,Common Stock,US36315X1019
17962,GLPGF,Galapagos NV,USA,PINK,USD,Common Stock,BE0003818359
17963,GLPI,Gaming & Leisure Properties,USA,NASDAQ,USD,Common Stock,US36467J1088
17967,GLPT,Global Profit Tech,USA,PINK,USD,Common Stock,US37949N1054
17970,GLRE,Greenlight Capital Re Ltd,USA,NASDAQ,USD,Common Stock,KYG4095J1094
17972,GLRI,Glori Energy Technology Inc,USA,PINK,USD,Common Stock,US3796061063
17975,GLSH,Gelesis Holdings Inc.,USA,PINK,USD,Common Stock,
17976,GLSHW,Gelesis Holdings Inc.,USA,PINK,USD,Common Stock,
17977,GLSI,Greenwich Lifesciences Inc,USA,NASDAQ,USD,Common Stock,US3968791083
17981,GLST,Global Star Acquisition Inc. Class A Common Stock,USA,NASDAQ,USD,Common Stock,
17982,GLSTR,Global Star Acquisition Inc. Right,USA,NASDAQ,USD,Common Stock,
17983,GLSTU,Global Star Acquisition Inc.,USA,NASDAQ,USD,Common Stock,
17984,GLSTW,Global Star Acquisition Inc. Warrants,USA,NASDAQ,USD,Common Stock,
17985,GLT,Glatfelter,USA,NYSE,USD,Common Stock,US3773201062
17986,GLTO,Galecto Inc,USA,NASDAQ,USD,Common Stock,US36322Q1076
17988,GLU,Gabelli Global Utility & Income Tr,USA,NYSE MKT,USD,Common Stock,US36242L1052
17989,GLU-PB,The Gabelli Global Utility & Income Trust,USA,NYSE MKT,USD,Preferred Stock,
17990,GLUC,Glucose Health Inc,USA,PINK,USD,Common Stock,US3798941080
17991,GLUE,Monte Rosa Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US61225M1027
17992,GLUX,Great Lakes Aviation Ltd,USA,PINK,USD,Common Stock,US39054K1088
17996,GLVHF,Glenveagh Properties PLC,USA,PINK,USD,Common Stock,
17998,GLVNF,Gallant Venture Ltd,USA,PINK,USD,Common Stock,
18001,GLW,Corning Incorporated,USA,NYSE,USD,Common Stock,US2193501051
18002,GLWLF,Glow Lifetech Corp,USA,OTCQB,USD,Common Stock,
18003,GLXZ,Galaxy Gaming Inc,USA,OTCQB,USD,Common Stock,US36318P1057
18004,GLYC,GlycoMimetics Inc,USA,NASDAQ,USD,Common Stock,US38000Q1022
18005,GLYYY,Glory Ltd ADR,USA,PINK,USD,Common Stock,US37961P1030
18006,GM,General Motors Company,USA,NYSE,USD,Common Stock,US37045V1008
18007,GMAB,Genmab AS,USA,NASDAQ,USD,Common Stock,US3723032062
18013,GMALF,Genting Malaysia Berhad,USA,PINK,USD,Common Stock,
18014,GMALY,Genting Malaysia Bhd ADR,USA,PINK,USD,Common Stock,US37251V1098
18027,GMBL,Esports Entertainment Group Inc,USA,NASDAQ,USD,Common Stock,US29667K3068
18028,GMBLP,Esports Entertainment Group Inc Preferred Series A,USA,NASDAQ,USD,Preferred Stock,US29667K4058
18029,GMBLW,Esports Entertainment Group Inc,USA,NASDAQ,USD,Common Stock,
18030,GMBLZ,Esports Entertainment Group Inc. Warrant,USA,NASDAQ,USD,Common Stock,
18032,GMBXF,Grupo México S.A.B. de C.V,USA,PINK,USD,Common Stock,
18045,GMDA,Gamida Cell Ltd,USA,NASDAQ,USD,Common Stock,IL0011552663
18048,GMDMF,Gem Diamonds Limited,USA,PINK,USD,Common Stock,
18053,GME,GameStop Corp,USA,NYSE,USD,Common Stock,US36467W1099
18054,GMED,Globus Medical,USA,NYSE,USD,Common Stock,US3795772082
18055,GMELF,GOME Retail Holdings Limited,USA,PINK,USD,Common Stock,
18058,GMER,Good Gaming Inc,USA,OTCQB,USD,Common Stock,US3820902076
18060,GMETF,GameOn Entertainment Technologies Inc,USA,OTCQB,USD,Common Stock,
18061,GMEV,Great China Mania Holdings Inc,USA,PINK,USD,Common Stock,US4037751090
18064,GMFI,Aetherium Acquisition Corp,USA,NASDAQ,USD,Common Stock,US00809J1016
18065,GMFIU,Aetherium Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US00809J2006
18066,GMFIW,Aetherium Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
18070,GMGI,Golden Matrix Group Inc,USA,NASDAQ,USD,Common Stock,US3810983003
18071,GMGMF,Graphene Manufacturing Group Ltd,USA,PINK,USD,Common Stock,
18072,GMGSF,Goodman Group,USA,PINK,USD,Common Stock,
18073,GMGT,Gaming Technologies Inc. Common Stock,USA,NASDAQ,USD,Common Stock,
18076,GMGZ,Genuine Marketing Group Inc.,USA,PINK,USD,Common Stock,
18078,GMHLF,GAM Holding AG,USA,PINK,USD,Common Stock,
18087,GMINF,G Mining Ventures Corp,USA,PINK,USD,Common Stock,
18091,GMLPF,Golar LNG Partners LP Series A Pref,USA,PINK,USD,Common Stock,MHY2745C1104
18095,GMMAF,Gama Explorations Inc.,USA,PINK,USD,Common Stock,
18102,GMND,Green Mountain Devel,USA,PINK,USD,Common Stock,US39312N1000
18103,GMNI,Gemini Group Global Corp,USA,PINK,USD,Common Stock,US36866G1013
18108,GMOFF,GMO Financial Gate Inc,USA,PINK,USD,Common Stock,
18118,GMOYF,GMO Internet Inc,USA,PINK,USD,Common Stock,
18121,GMPR,Gourmet Provisions International Corp,USA,PINK,USD,Common Stock,US38356C1036
18122,GMPW,GiveMePower Corp,USA,PINK,USD,Common Stock,US3763661002
18123,GMPXF,RF Capital Group Inc,USA,PINK,USD,Common Stock,CA74971G1046
18127,GMRCF,Gelum Resources Ltd.,USA,OTCQB,USD,Common Stock,
18129,GMRE,Global Medical REIT Inc,USA,NYSE,USD,Common Stock,US37954A2042
18130,GMRE-PA,Global Medical REIT Inc,USA,NYSE,USD,Preferred Stock,
18134,GMS,GMS Inc,USA,NYSE,USD,Common Stock,US36251C1036
18136,GMSC,Grand Entertainment & Music Inc,USA,OTCCE,USD,Common Stock,
18148,GMTNF,Gold Mountain Mining Corp,USA,OTCQB,USD,Common Stock,
18156,GMVD,G Medical Innovations Holdings Ltd,USA,NASDAQ,USD,Common Stock,KYG394622081
18157,GMVDF,G Medical Innovations Holdings Ltd,USA,PINK,USD,Common Stock,
18158,GMVDW,G Medical Innovations Holdings Ltd. Warrants,USA,NASDAQ,USD,Common Stock,
18159,GMVHF,Entain Plc,USA,PINK,USD,Common Stock,
18160,GMVHY,Entain DRC PLC,USA,PINK,USD,Common Stock,US2936031069
18162,GMVMF,GMV Minerals Inc,USA,OTCQB,USD,Common Stock,
18165,GMVWF,G Medical Innovations Holdings Ltd,USA,PINK,USD,Common Stock,
18168,GMWKF,Games Workshop Group PLC,USA,PINK,USD,Common Stock,GB0003718474
18174,GMXDF,Grupo Mexicano de Desarrollo S.A.B,USA,PINK,USD,Common Stock,
18178,GMXTF,GMéxico Transportes S.A.B. de C.V,USA,PINK,USD,Common Stock,
18180,GMYTF,GMO Payment Gateway Inc,USA,OTCGREY,USD,Common Stock,
